text,created_at,author,uri,has_images,reply_to,date,time,language,hour,weekday,time_of_day,sentiment,row_id
"Bit fiddly at times but read each section all the way through before starting it and dry fit your pieces before gluing and it goes OK

I used Mechanicus Standard Grey primer I undercoated with a dilute PVAFiller mix to give the walls texture which helped with priming as well",2024-11-27T10:11:48Z,did:plc:h3b2rfyxdvq7dtgyz7gbory4,at://did:plc:h3b2rfyxdvq7dtgyz7gbory4/app.bsky.feed.post/3lbwcstrsw22y,FALSE,at://did:plc:lccpqwsrlr24uc2ggvzogljj/app.bsky.feed.post/3lbwb6wgvzk2k,2024-11-27,10:11:48,en,10,Wednesday,Morning,0.8779,1
Nice to get these finished off last night  railway shovel and ballast fork rehandled with handles turned to fit on the lathe and riveted in place,2024-11-27T09:31:31Z,did:plc:ib66k3mwvu4pmnkif22sufuj,at://did:plc:ib66k3mwvu4pmnkif22sufuj/app.bsky.feed.post/3lbwaksxn4y2e,TRUE,NA,2024-11-27,09:31:31,en,9,Wednesday,Morning,0.6486,2
Im betting he spends most of his time at MaL Hes popular there  they stand  clap whenever he enters the room Plus he can charge the taxpayers for SS rooms meals golf carts all sorts of things Probably staff expenses too Hes going to really rape the taxpayers this time around,2024-11-27T09:24:20Z,did:plc:25raplapvwvdywgsddwvbb6i,at://did:plc:25raplapvwvdywgsddwvbb6i/app.bsky.feed.post/3lbwa5x7djk2n,FALSE,at://did:plc:4lx6nur5wstwoc4wtgj56kyu/app.bsky.feed.post/3lbu4efhmk22o,2024-11-27,09:24:20,en,9,Wednesday,Morning,-0.4927,3
I thought this place was aiming to be free of bots and spammers I would have thought a daily automated find on certain keywords would be a start This is hardly subtle,2024-11-27T09:51:28Z,did:plc:ji4qw3inj6no4pur53dqc7lw,at://did:plc:ji4qw3inj6no4pur53dqc7lw/app.bsky.feed.post/3lbwbohoqqc2s,TRUE,NA,2024-11-27,09:51:28,en,9,Wednesday,Morning,0.4215,4
I think the MLB should remove the luxury tax before they even consider a salary cap they wont consider a salary cap,2024-11-27T10:39:22Z,did:plc:pmx7urh5flgdzsptwdkurk53,at://did:plc:pmx7urh5flgdzsptwdkurk53/app.bsky.feed.post/3lbwee5fndk2j,FALSE,NA,2024-11-27,10:39:22,en,10,Wednesday,Morning,0,5
"Unveiling New Mechanical Couplings in D Lattices AxialBending and the Role of Symmetry Breaking

Dijia Zhong Duo Qi Jaehyung Ju",2024-11-27T09:24:41Z,did:plc:uxjdkwlgj5ptelt2x4e3zrzr,at://did:plc:uxjdkwlgj5ptelt2x4e3zrzr/app.bsky.feed.post/3lbwa6m6vss2l,FALSE,NA,2024-11-27,09:24:41,en,9,Wednesday,Morning,0,6
"I cant block him any harder 

Maybe Ill unblock and reblock for a little dopamine hit",2024-11-27T10:15:14Z,did:plc:jyus7oqu7kxhmza2eaecrhd3,at://did:plc:jyus7oqu7kxhmza2eaecrhd3/app.bsky.feed.post/3lbwcyxnzwc2b,FALSE,at://did:plc:naseio2h3neflxias4vljwfn/app.bsky.feed.post/3lbwcucl22c2r,2024-11-27,10:15:14,en,10,Wednesday,Morning,-0.1012,7
I know nothing either I just love escaping out into the woods and go for long walks in the silence ,2024-11-27T08:26:25Z,did:plc:tlvmlq6dju2ii3uq76fklt6q,at://did:plc:tlvmlq6dju2ii3uq76fklt6q/app.bsky.feed.post/3lbw4wf5isc2w,FALSE,at://did:plc:lmco5imcsaqa5iyigkkjp5ej/app.bsky.feed.post/3lbv36xfvk227,2024-11-27,08:26:25,en,8,Wednesday,Morning,0.6597,8
This is my first post and I do not know anyone on here How do I even get started ,2024-11-27T08:40:20Z,did:plc:nqi4xnm6eozw63jnbgdmiz7v,at://did:plc:nqi4xnm6eozw63jnbgdmiz7v/app.bsky.feed.post/3lbw5pbwrv42r,FALSE,at://did:plc:nqi4xnm6eozw63jnbgdmiz7v/app.bsky.feed.post/3lbw4wawlg42r,2024-11-27,08:40:20,en,8,Wednesday,Morning,0,9
Im spending it writing alone in my apartment and sleeping in Maybe drive out to the river if Im feeling saucy Im preparing for New Years Going to visit my Republican family in a very conservative state then I have a hard rule of no discussing politics,2024-11-27T11:34:30Z,did:plc:4f4l5cd3jz4kqqwyyd34j33t,at://did:plc:4f4l5cd3jz4kqqwyyd34j33t/app.bsky.feed.post/3lbwhgpvank2y,FALSE,at://did:plc:qig2llsb6we7hyt3vrs24n24/app.bsky.feed.post/3lbwgs4224s2z,2024-11-27,11:34:30,en,11,Wednesday,Morning,-0.4767,10
